rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
8,8,2,OLD,20176947,원더,2017-12-27,25969200,0.5,4317800,19.9,1488784445,3509,647,22.6,188976,67,144
9,9,-1,OLD,20177104,페르디난드,2018-01-03,21073500,0.4,-27038700,-56.2,3712452400,3476,-4001,-53.5,512168,95,115
10,10,8,OLD,20178228,다키스트 아워,2018-01-17,12944000,0.3,9742000,304.2,20694000,1796,1292,256.3,2902,217,349
1,1,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,1299525600,30.3,-453460500,-25.9,3110620000,166420,-59090,-26.2,396891,979,3973
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,856045100,20.0,-108478200,-11.2,2021461100,112992,-13805,-10.9,262496,833,3455
3,3,1,OLD,20179985,코코,2018-01-11,612011200,14.3,19180600,3.2,9858603996,85272,3158,3.8,1237333,753,2051
4,4,-1,OLD,20170590,1987,2017-12-27,607829400,14.2,-80997400,-11.8,49798366345,80288,-10340,-11.4,6203096,745,2833
5,5,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,507995300,11.9,-22122000,-4.2,105772198237,68978,-2201,-3.1,13179604,645,2126
6,6,0,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,95688400,2.2,-11270700,-10.5,13187587091,13139,-1251,-8.7,1629795,398,721
7,7,0,NEW,20189525,젝스키스 에이틴,2018-01-18,49236400,1.1,49236400,100,69957200,6765,6765,100,9057,25,70
8,8,-1,OLD,20179462,위대한 쇼맨,2017-12-20,45546600,1.1,-5222700,-10.3,10252226400,5824,-685,-10.5,1252032,108,156
9,9,0,NEW,20178808,주문은 토끼입니까?? ~디어 마이 시스터~,2018-01-18,40877500,1.0,40877500,100,48851500,5773,5773,100,6659,79,139
10,10,16,OLD,20173662,리틀 뱀파이어,2018-01-18,17487300,0.4,15600300,826.7,25102300,2646,2393,945.8,3615,192,223
1,1,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,1563358480,30.0,263832880,20.3,4673978480,181345,14925,9,578236,1020,4251
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,1089467942,20.9,233422842,27.3,3110929042,129275,16283,14.4,391771,825,3471
3,3,0,OLD,20179985,코코,2018-01-11,783484420,15.0,171473220,28,10642088416,98539,13267,15.6,1335872,766,2185
4,4,0,OLD,20170590,1987,2017-12-27,778155200,14.9,170325800,28,50576521545,91393,11105,13.8,6294489,745,2842
5,5,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,634859200,12.2,126863900,25,106407057437,76062,7084,10.3,13255666,645,2129
6,6,0,OLD,20171909,쥬만지: 새로운 세계,2018-01-03,103889538,2.0,8201138,8.6,13291476629,12593,-546,-4.2,1642388,372,675
7,7,1,OLD,20179462,위대한 쇼맨,2017-12-20,61479700,1.2,15933100,35,10313706100,7073,1249,21.4,1259105,113,182
8,8,-1,OLD,20189525,젝스키스 에이틴,2018-01-18,31269700,0.6,-17966700,-36.5,101226900,4228,-2537,-37.5,13285,25,71
9,9,5,OLD,20176947,원더,2017-12-27,23207100,0.4,7976300,52.4,1527222345,3202,1080,50.9,194300,56,112
10,10,0,OLD,20173662,리틀 뱀파이어,2018-01-18,18491700,0.4,1004400,5.7,43594000,2529,-117,-4.4,6144,193,223
1,1,0,OLD,20175054,메이즈 러너: 데스 큐어,2018-01-17,3159303883,29.4,1595945403,102.1,7833282363,366720,185375,102.2,944956,1090,4633
2,2,0,OLD,20176104,그것만이 내 세상,2018-01-17,2185637448,20.4,1096169506,100.6,5296566490,259762,130487,100.9,651533,856,3490
3,3,0,OLD,20179985,코코,2018-01-11,1890151317,17.6,1106666897,141.2,12532239733,235540,137001,139,1571412,927,2713
4,4,0,OLD,20170590,1987,2017-12-27,1684063000,15.7,905907800,116.4,52260584545,198195,106802,116.9,6492684,714,2744
5,5,0,OLD,20150976,신과함께-죄와 벌,2017-12-20,1249720800,11.6,614861600,96.9,107656778237,149485,73423,96.5,13405151,650,2127
